english;spanish
To nudge;Empujar suavemente
Queasy;Mareado
Quiver;Carcaj, donde se llevan las flechas
Rag;Trapo
Raisin;Uva pasa
Rapport;Buena relación
Rattle;Sonajero
Razer clams;Navajas (marisco)
Reaping;Cosecha
Reckless;Imprudente, temerario
Remiss;Descuidado, negligente
Riddle;Acertijo, adivinanza
Riddled with;Plagado de
Rife;Abundante
Rind;Corteza
Ripe;Maduro
Robe;Bata
Roost;Gallinero
Rudden;Timón (paleta de dirección bajo el agua)
Ruthless;Despiadado, implacable
Saddle;Sillín
Sailboat;Velero
Salve;Ungüento
Sap;Savia
Savvy;Inteligente
Saw ;Sierra
Sawdust;Serrín 
Scavenger;Carroñero
Scepter;Cetro
Scruffy ;Desaliñado
Sea bass;Lubina
Seam;Costura
Seizure;Convulsión 
Seldom;Rara vez, casi nunca
Shards;Fragmentos
Shed;Cobertizo
Sheer;Puro, puramente
Shingle;Teja
Shiver;Escalofrío
Shrew;Musaraña
Shrine;Santuario
Shutter;Persiana
Siege;Cerco, sitio, acoso
Silk;Seda
Silver lining;Resquicio de esperanza
Slack;Holgado, flojo
Slaughterhouse;Matadero
Slender;Esbelto
Slingshot;Tirachinas
Slot machine;Tragaperras
Slug;Babosa
Slumber;Sueño
Snare;Trampa
Snarl;Gruñido
Snippet;Fragmento
Snout;Hocico 
Socket;Enchufe, cuenca, órbita
Sod;Césped
Sodden;Empapado
Sole;Lenguado, suela (de zapato)
Spate;Avalancha
Spear;Lanza
Spindle;Eje
Spinster;Solterona
Spline;Ranura
Spring;Muelle, resorte
Squal;Escupitajo
Squash;Calabaza
Staggering;Asombroso
Steep;Empinado
Stench;Hedor
Stern;Popa 
Stiffness;Rigidez
Strain;Tensión, deformación
Stress (the fact…);Subrayar (el hecho…)
Stroll;Paseo
Stroller;Carricoche
Studded (something-studded);Repleto
Stuffed;Lleno, relleno
Sturdy;Robusto
Subtlety;Sutileza
Supple;Flexible
Surly;Gruñón, malhumorado
Swath;Franja
Swell;Hinchar
Swiftly;Rápidamente
Tailored;Hecho a medida
Take over;Hacerse cargo, tomar el control
Tar;Alquitrán 
Teeming;Rebosante
Temper;Temperamento
Thereby;De este modo
Thimble;Dedal
To wield;Blandir, empuñar
Thug;Matón
Tick;Garrapata
Tightrope;Cuerda de equilibrista
Timely;Oportuno
Tin;Estaño, hojalata
Tipple;Bebida alcohólica 
Tipsy;Achispado, un poco borracho
To attain;Alcanzar
To banter;Bromear
To bask;Disfrutar
To be a dead ringer for someone;Ser idéntico a alguien
To be on the fence;Estar a la defensiva
To be scared out of your wits;Estar muerto de miedo
To be spoken for;Estar comprometido, tener pareja
To beckon;Hacer señas, llamar
To befall;Acontecer
To bewail;Lamentar
To blurt out;Decir bruscamente
To brag;Alardear, fanfarronear
To budge;Ceder
To chew the fat;Conversar relajadamente
To churn;Agitar, revolver
To clinch;Cerrar, asegurar
To cling on;Aferrarse
To spew;Vomitar
To clutch;Agarrar
To coax;Convencer
To conceal;Ocultar, esconder
Clutch ;Embrague
To concoct;Confeccionar, inventar, preparar
Clutch time;Momento decisivo
To counter;Contrarrestar
To dart out;Salir disparado
To deem;Considerar
To deplete;Mermar
To dither;Titubear, vacilar
To dodge;Esquivar, eludir
To doze;Dormitar
To doze off/ doze;Dormitar
To dread;Temer
To eke up (time);Recuperar, ganar (tiempo)
To endow with;Dotar de 
To envisage;Prever
To fathom;Sondear
To fend off;Defenderse
To flinch;Estremecerse, retroceder
To flit;Revolotear
To floudner;Tambalearse/ debatirse
To foil;Frustrar
To forge ahead;Seguir adelante
To foster;Fomentar
To garner;Obtener
To gauge;Merdir, calibrar
To give a piece of my mind;Explicar por qué estoy enfadado
To glean;Descubrir, averiguar
To gloat;Regodearse
To glower;Mirar con el ceño fruncido
To gorge;Atiborrarse
To grasp;Comprender, entender
To graze;Pastar
To gush;Deshacerse en elogios
To gut;Destripar
To hack off;Cortar
To haggle;Regatear precio
To halt;Detener
To hamper;Obstaculizar, entorpecer
To hanker;Anhelar
To harness;Aprovechar
To haul;Transportar, arrastrar
To hinder;Obstaculizar
To hiss;Silbar
To hitch;Enganchar
To hog;Acaparar
To hoist;Izar, elevar
To holler;Gritar
To hone;Perfeccionar, afinar
To hover;Flotar
To huddle;Acurrucarse, reunirse de forma cercana
To hunker;Agacharse
To jeopardize;Poner en peligro
To keel over;Desmayarse, volcar
To leach;Filtrar
To lean;Inclinarse, apoyarse
To linger;Permanecer, persistir
To make haste;Darse prisa
To mingle;Mezclarse
To mint;Acuñar
To muim;Mutilar
To parch;Secar, tostar, abrasar
To plunge;Zambullirse
To pore ;Estudiar minuciosamente
To pore over;Rebuscar, analizar, escudriñar
To pounce;Abalanzarse
To prick;Pinchar
To prompt;Solicitar
To pry;Fisgonear, entrometerse / Hacer palanca, sacar a la fuerza
To rant;Despotricar
To reek;Apestar
To relish;Saborear, deleitarse
To resemble;Parecerse
To roam;Vagar
To scowl ;Fruncir el ceño
To scrub ;Fregar
To segue into;Pasar a, enlazar con
To seize;Apoderarse
To shed;Arrojar
To shift through;Examinar
To shirk;Eludir
To shrivel;Arrugar
To slake;Saciar
To slink off;Escabullirse
To slit;Cortar
To smolder;Arder lentamente
To snarl;Gruñir
To soar;Volar alto
To sow;Sembrar
To spearhead;Encabezar, ser puntero
To sprout;Brotar
Eerie;Inquietante
To spur;Estimular
Howl;Aullido
Crease;Pliegue
A pang of;Una punzada de
Tepid;Templado, tibio
Blizzard;Ventisca
To trudge off;Arrastrar los pies, irse con dificultad
To thwart;Frustrar
Searing (to sear);Abrasador (dorar, sellar)
Ladle (to ladle);Cucharón (servir)
Sizzle;Chisporroteo, vibración
To spurn;Rechazar, despreciar
To squeal;Chillar
To stagger;Tambalearse
To stall;Detener
To startle;Sobresaltar
To steer (steer);Dirigir (volante)
To stir;Revolver, agitar
To strive;Esforzarse
To sweep;Barrer
To take a dig;Criticar, dar un zasca
To thrive;Prosperar
To tread;Pisar
To tuck;Meter
To usher;Marcar el comienzo
To waggle;Menear
To wail;Llorar (sonar una sirena)
To wander;Vagar, deambular
To wane;Menguar
To waver;Vacilar, dudar
To weep;Lloriquear
To whine;Quejarse, gimotear
To whip;Azotar
To whir;Zumbar, batir
To whirp;Azotar
To yearn;Anhelar
Toil;Trabajo, esfuerzo
Torn;Roto, desgarrado
Traipse;Viaje 
Trait;Rasgo
Trolley;Carretilla
Turbot;Rodaballo
Turd;Zurullo, cagada
Turnip;Nabo
Turnpike;Autopista
Tycoon;Magnate
Umpire;Árbitro
Unbeknownst;Sin saberlo
Uncouth;Grosero
Underscore;Barra baja (_)
Unhinged;Desquiciado
Untapped;Sin explotar
Upheaval;Convulsión 
Venue;Evento
Vermin;Alimañas, parásitos
Wager;Apuesta
Wailing;Gemido
Wanton;Sin sentido
Warble;Trino
Ward;Pabellón 
Weal ;Roncha
Weasel;Comadreja
Wedge (to wedge);Cuña (forzar algo en un sitio pequeño)
Whim;Capricho
Whimper;Gemido, gimoteo
